Date,Customer Search Term,Keyword ID,Keyword Text,Match Type,Ad Group ID,Ad Group Name,Campaign ID,Campaign Name,Campaign Status,Clicks,Cost (*),Impressions,Portfolio Name,1 Day Total Conversions,1 Day Advertised SKU Conversions
45889,superior fireplaces fireplace glass doors,141132262596818,+superior +fireplace +doors,BROAD,126537202219073,Ad group - 10/17/2022 07:52:32,60720092609371,Superior Lennox,ENABLED,1,0.5,7,Fireplace doors,0,0
45889,paint rollers 3 inch,317345726043118,3 inch roller,BROAD,12185778796917,"2-Pack 3"" Roller Frames Manual Target - Ad group - 1/27/2023 22:11:16",106758846784056,"2-Pack 3"" Roller Frame Manual Targeting",ENABLED,1,0.75,7,Paint roller cover,1,1
45889,brick cleaner,505086368739077,close-match,TARGETING_EXPRESSION_PREDEFINED,522555218533436,Bulk Auto 0.50,451365854880122,Fireplace CLNR Brush - B0DX84MN59 - Bulk Auto 0.50 - 29-May-25,ENABLED,1,0.75,10,Fireplace Cleaner,0,0
45889,brick anew fireplace paint kit,546892118977341,+brick +paint +kit,BROAD,463817560840567,Paint Kit Ad group shane - 3/4/2025 21:30:34,560938632034272,Brick-Anew Paint Kits (Shane),ENABLED,1,0.3,11,Fireplace Painting Kit,0,0
45889,brick sealer,451759101236199,brick sealer,BROAD,296298694091943,Sealer Manual - Exact Targeting Ad group - 7/23/2025,314733207305257,Sealer Manual Exact - B0DX83RYSF - 7/23/2025 [Shane],ENABLED,1,0.75,15,,0,0
45889,paint rollers 3 inch,558889389676364,3 inch roller,BROAD,69903844702296,"6-pack 3"" Roller Covers - Manual Target Ad group - 1/27/2023 22:00:37",104299600570379,3 inch paint roller covers exact,ENABLED,1,0.82,15,Paint roller cover,0,0
45889,brick fireplace cleaner,505086368739077,close-match,TARGETING_EXPRESSION_PREDEFINED,522555218533436,Bulk Auto 0.50,451365854880122,Fireplace CLNR Brush - B0DX84MN59 - Bulk Auto 0.50 - 29-May-25,ENABLED,1,0.75,17,Fireplace Cleaner,0,0
45889,smoke eliminator for home smoking,520355802217211,smoke odor eliminator,BROAD,539309954473914,Xtractor - B0CGGP5FP5 - Broad+ STR [odor] (Daniyal) TOS100,282680986919776,SmokeXtractor - Broad+ STR [odor] (Shane) TOS100,PAUSED,1,1.1,18,Smoke Extractor,0,0
45889,seatbelt grabber handle,522907048511175,+seatbelt +grabber,BROAD,151155804930704,SBG 1/2-Packs Manual Targeting - Ad group - 6/26/2022 16:41:18,53854195030497,Seat Belt Grabber Broad,ENABLED,1,0.71,19,,0,0
45889,3 inch rollers for painting,558889389676364,3 inch roller,BROAD,69903844702296,"6-pack 3"" Roller Covers - Manual Target Ad group - 1/27/2023 22:00:37",104299600570379,3 inch paint roller covers exact,ENABLED,1,0.75,25,Paint roller cover,0,0
45889,seat belt grabber,515924042900973,seat belt grabber,PHRASE,151155804930704,SBG 1/2-Packs Manual Targeting - Ad group - 6/26/2022 16:41:18,53854195030497,Seat Belt Grabber Broad,ENABLED,1,0.78,44,,0,0
